StartTime,MeanTime,Group,Summary
1343434457,1343440502,1354,Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434444,1343440529,1355,RT @NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434443,1343440543,1356,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434438,1343440553,1357,Going back in time... How Olympic gymnastics used to be - Paris 1924 Olympic Games: http://t.co/Fs4u47Am via @youtube #london2012
1343434428,1343440563,1358,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434418,1343440601,1359,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434417,1343440644,1360,Men's qualifiers for gymnastics tomorrow #excited #olympics2012 #TEAMUSA #london2012
1343434408,1343440651,1361,RT @PaigeWhibbs: Diving gymnastics and men's swimming. #Olympics
1343434402,1343440661,1362,@KatieAlli_ gymnastics isnt tonight. starts tomorrow through the 7th then9th through the 12th. #london2012
1343434394,1343440663,1363,#Olympics opening ceremony today!! ..I wanna watch the gymnastics. Shits awesome
1343434391,1343440682,1364,I only wanna watch the gymnastics #london2012
1343434382,1343440692,1365,RT @VivaClairizzy: #Olympics opening ceremony today!! ..I wanna watch the gymnastics. Shits awesome
1343434371,1343440700,1366,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434362,1343440735,1367,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434362,1343440740,1368,the gymnastics and diving is by far the best part of the #olympics #teamgb
1343434358,1343440749,1369,RT @Areeakdeng: Only watching gymnastics in the #Olympics2012.
1343434346,1343440779,1370,Good luck! Sparks! MT @DeanHeller wish @jake_dalton luck in #London2012 as he competes for #TeamUSA in men’s gymnastics!
1343434340,1343440793,1371,@DHern_30 @Olympics I am!!! love the swimming and diving and gymnastics :) #olympics
1343434331,1343440793,1372,Opening ceremony is today!!! Woooooo I'm excited! #jakedalton #danellleyva #London2012 #gymnastics #TeamUSA
1343434323,1343440813,1373,Cant wait to watch the women's gymnastics basically its like being a pedophile without the guilt #london2012 #olympics
1343434319,1343440822,1374,When the gymnastics part of the #Olympics come on. That's when I will tune in
1343434317,1343440825,1375,The Olympics begin today who are your favorite athletes and sports? We can't wait to see gymnastics! Go Gabby! #olympics2012 #london #sport
1343434306,1343440831,1376,RT @CarleyPeca: Enough with soccer I want to see gymnastics. #Olympics #gymnasticskindagirl
1343434295,1343440837,1377,I'll also be watching the women's synchronised swimming & gymnastics.I find it pretty amusing how people can be 'very bendy'. #London2012
1343434288,1343440840,1378,Can't wait to see Shawn Johnson at the Olympics 😌 #Olympics #gymnastics #USA
1343434259,1343440845,1379,RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics
1343434257,1343440883,1380,RT @aixaislikewtf: Can't wait to see Shawn Johnson at the Olympics 😌 #Olympics #gymnastics #USA
1343434220,1343440908,1381,“@NBCOlympics: US! RT @AAinsworthNBC: Who else can't wait for gymnastics to begin tomorrow!? #london2012 #gymnastics” US 3!
